geometry,code
POINT (0.0007682754067695 0.0002482133751614),BaylorSCH0SE-WasinkhyahTMP0SE-109
POINT (0.0007682547268329 0.0002482217676976),BaylorSCH0SE-WasinkhyahTMP0SE-110
POINT (0.0007682686043906 0.0002482169214735),BaylorSCH0SE-WasinkhyahTMP0SE-111
POINT (0.0007682631156972 0.0002482138308955),BaylorSCH0SE-WasinkhyahTMP0SE-112
POINT (0.0007682736254729 0.0002482140912544),BaylorSCH0SE-WasinkhyahTMP0SE-113
POINT (0.000768274176653 0.0002482117083927),BaylorSCH0SE-WasinkhyahTMP0SE-114
POINT (0.0007682756656405 0.0002482123736435),BaylorSCH0SE-WasinkhyahTMP0SE-115
POINT (0.0007682751759235 0.0002482154256618),BaylorSCH0SE-WasinkhyahTMP0SE-116
POINT (0.0007682589240466 0.0002482185975428),BaylorSCH0SE-WasinkhyahTMP0SE-117
POINT (0.0007682772858602 0.0002482089942472),BaylorSCH0SE-WasinkhyahTMP0SE-118
POINT (0.000768254161685 0.000248216593465),BaylorSCH0S-WasinkhyahTMP0S-8
POINT (0.0007682662092126 0.0002482169161007),BaylorSCH0SE-WasinkhyahTMP0SE-119
POINT (0.0007682774236732 0.0002482097833076),BaylorSCH0SE-WasinkhyahTMP0SE-120
POINT (0.000768260540135 0.0002482210575278),BaylorSCH0SE-WasinkhyahTMP0SE-121
POINT (0.0007682776367297 0.0002482124445138),BaylorSCH0SE-WasinkhyahTMP0SE-122
POINT (0.000768257445981 0.0002482180614954),BaylorSCH0SE-WasinkhyahTMP0SE-123
POINT (0.0007682720786186 0.0002482097587958),BaylorSCH0SE-WasinkhyahTMP0SE-124
POINT (0.0007682616169959 0.0002482103610339),BaylorSCH0SE-WasinkhyahTMP0SE-125
POINT (0.0007682655566328 0.0002482123879167),BaylorSCH0SE-WasinkhyahTMP0SE-126
POINT (0.0007682658807687 0.0002482105318213),BaylorSCH0SE-WasinkhyahTMP0SE-127
POINT (0.0007682528580201 0.0002481934276717),BaylorSCH0S-WasinkhyahTMP0S-9
POINT (0.0007682441571537 0.000248214239508),BaylorSCH0S-WasinkhyahTMP0S-10
POINT (0.0007682332701206 0.0002482194547388),BaylorSCH0SW-WasinkhyahTMP0SW-8
POINT (0.0007682490986737 0.0002482032128597),BaylorSCH0S-WasinkhyahTMP0S-11
POINT (0.0007682512329907 0.000248199929533),BaylorSCH0S-WasinkhyahTMP0S-12
POINT (0.0007682461019146 0.0002482052602669),BaylorSCH0S-WasinkhyahTMP0S-13
POINT (0.0007682516980669 0.0002482042326496),BaylorSCH0S-WasinkhyahTMP0S-14
POINT (0.0007682482846496 0.0002482050277361),BaylorSCH0S-WasinkhyahTMP0S-15
POINT (0.0007682377026629 0.0002481982343389),BaylorSCH0S-WasinkhyahTMP0S-16
POINT (0.0007682514516601 0.0002481980343516),BaylorSCH0S-WasinkhyahTMP0S-17
POINT (0.0007682365426391 0.0002482018865573),BaylorSCH0S-WasinkhyahTMP0S-18
POINT (0.0007682388653332 0.0002482077620436),BaylorSCH0S-WasinkhyahTMP0S-19
POINT (0.0007682480506385 0.0002481958676152),BaylorSCH0S-WasinkhyahTMP0S-20
POINT (0.0007682398184143 0.0002481976343753),BaylorSCH0S-WasinkhyahTMP0S-21
POINT (0.0007682418369917 0.0002481995134277),BaylorSCH0S-WasinkhyahTMP0S-22
POINT (0.0007682438098422 0.0002482001265797),BaylorSCH0S-WasinkhyahTMP0S-23
POINT (0.0007682450739758 0.0002481996266182),BaylorSCH0S-WasinkhyahTMP0S-24
POINT (0.0007682438114886 0.0002481967861425),BaylorSCH0S-WasinkhyahTMP0S-25
POINT (0.0007682535206706 0.0002482069846708),BaylorSCH0S-WasinkhyahTMP0S-26
POINT (0.000768253713106 0.0002482077185761),BaylorSCH0S-WasinkhyahTMP0S-27
POINT (0.0007682415113524 0.0002482059175174),BaylorSCH0S-WasinkhyahTMP0S-28
POINT (0.0007682696591635 0.0002481942865803),BaylorSCH0SE-WasinkhyahTMP0SE-128
POINT (0.0007682308457308 0.0002482368360232),BaylorSCH0W-WasinkhyahTMP0W-4
POINT (0.0007682592777647 0.000248188585442),BaylorSCH0S-WasinkhyahTMP0S-29
POINT (0.0007682619191783 0.0002481903958235),BaylorSCH0S-WasinkhyahTMP0S-30
POINT (0.0007682605045871 0.0002481909034498),BaylorSCH0S-WasinkhyahTMP0S-31
POINT (0.0007682544044322 0.0002481965564769),BaylorSCH0S-WasinkhyahTMP0S-32
POINT (0.000768260865877 0.0002481942648406),BaylorSCH0S-WasinkhyahTMP0S-33
POINT (0.0007682641372194 0.0002481943270044),BaylorSCH0SE-WasinkhyahTMP0SE-129
POINT (0.0007682656991912 0.000248194799573),BaylorSCH0SE-WasinkhyahTMP0SE-130
POINT (0.0007682666117287 0.000248197118616),BaylorSCH0SE-WasinkhyahTMP0SE-131
POINT (0.0007682732835342 0.0002482029659687),BaylorSCH0SE-WasinkhyahTMP0SE-132
